Category,P_i,W_i,D_i
agro_industria_e_comercio,342.12485849056606,3625.1132075471696,212
alimentos,57.63413725490196,658.1156862745098,510
alimentos_bebidas,54.602446043165465,1104.6546762589928,278
artes,115.8021052631579,1557.5454545454545,209
artes_e_artesanato,75.58375,1369.875,24
artigos_de_festas,104.30651162790699,1997.6744186046512,43
artigos_de_natal,57.52169934640523,1893.7124183006536,153
audio,139.25412087912088,1218.423076923077,364
automotivo,139.9575230224321,2594.1482880755607,4235
bebes,133.7568178851175,3273.4050261096604,3064
bebidas,59.178627968337736,1052.3482849604222,379
beleza_saude,130.18996275990483,1048.7815247750077,9667
brinquedos,117.54836045664318,1857.3684721884867,4117
cama_mesa_banho,93.2816264409222,2107.928584293948,11104
casa_conforto,134.95861751152074,3114.400921658986,434
casa_conforto_2,25.342333333333332,827.9333333333333,30
casa_construcao,137.56311258278146,3051.4718543046356,604
cds_dvds_musicais,52.142857142857146,550.0,14
cine_foto,96.29805555555555,1160.861111111111,72
climatizacao,185.26922558922558,4118.016835016835,297
consoles_games,138.49183817062445,450.22251539138085,1137
construcao_ferramentas_construcao,155.7347578040904,3119.390742734123,929
construcao_ferramentas_ferramentas,154.40728155339806,1161.7669902912621,103
construcao_ferramentas_iluminacao,135.1315789473684,3370.6085526315787,304
construcao_ferramentas_jardim,108.04995798319328,2305.5336134453783,238
construcao_ferramentas_seguranca,208.9923711340206,798.639175257732,194
cool_stuff,167.357968914647,2548.9712855637513,3796
dvds_blu_ray,93.74046875,487.734375,64
eletrodomesticos,103.98382619974059,1933.6070038910507,771
eletrodomesticos_2,476.1249579831933,8957.57142857143,238
eletronicos,57.913530899891576,780.7940007228045,2767
eletroportateis,280.7784683357879,2992.1958762886597,679
esporte_lazer,114.34428538363615,1743.06156694827,8641
fashion_bolsas_e_acessorios,75.24546528803546,381.3087149187592,2031
fashion_calcados,89.93423664122137,1041.2213740458014,262
fashion_esporte,70.65033333333334,340.0,30
fashion_roupa_feminina,58.409166666666664,553.125,48
fashion_roupa_infanto_juvenil,71.23125,265.0,8
fashion_roupa_masculina,81.80166666666666,579.7348484848485,132
fashion_underwear_e_moda_praia,72.83625954198473,276.14503816793894,131
ferramentas_jardim,111.63019553715206,2824.0848861283644,4347
flores,33.63757575757575,1834.8484848484848,33
fraldas_higiene,40.19461538461538,665.3846153846154,39
industria_comercio_e_negocios,148.0209328358209,6663.6529850746265,268
informatica_acessorios,116.51390315574294,902.5091350453558,7827
instrumentos_musicais,281.616,3095.845588235294,680
la_cuisine,146.785,3685.714285714286,14
livros_importados,77.33083333333335,625.8333333333334,60
livros_interesse_geral,84.73215189873417,760.5244122965642,553
livros_tecnicos,71.52082397003745,1014.4606741573034,267
malas_acessorios,128.5988827838828,5774.545787545788,1092
market_place,91.2490996784566,1119.331189710611,311
moveis_colchao_e_estofado,114.94947368421053,7557.894736842105,38
moveis_cozinha_area_de_servico_jantar_e_jardim,164.8696441281139,8852.850533807828,281
moveis_decoracao,87.56449364050876,2653.128869690425,8334
moveis_escritorio,162.0110585452395,11390.454169130691,1691
moveis_quarto,183.75027522935778,9989.220183486239,109
moveis_sala,137.0110536779324,8092.532803180915,503
musica,158.79868421052632,1688.1052631578948,38
papelaria,91.75336909018674,2751.5148986889153,2517
pc_gamer,171.77222222222224,1882.7777777777778,9
pcs,1098.3405418719212,7216.79802955665,203
perfumaria,116.73731207955542,480.1263527347177,3419
pet_shop,110.0746841294299,2924.5403184386237,1947
portateis_casa_forno_e_cafe,624.2856578947368,5074.894736842105,76
portateis_cozinha_e_preparadores_de_alimentos,264.5686666666667,2838.3333333333335,15
relogios_presentes,201.13598397596394,580.9766316140878,5991
seguros_e_servicos,141.64499999999998,812.5,2
sinalizacao_e_seguranca,108.08658291457286,3886.7236180904524,199
tablets_impressao_imagem,90.70373493975903,307.09638554216866,83
telefonia,71.21397799779977,261.6222222222222,4545
telefonia_fixa,225.6931818181818,565.344696969697,264
utilidades_domesticas,90.78814761631247,3214.587880528432,6964
